,GrLivArea,OverallQual,GarageCars,Fireplaces_ordinal,MSZoning_ordinal,SalePrice
336,1922,9,3,3,2,377426
337,1536,7,2,0,2,214000
338,1621,7,2,0,2,202500
339,1215,6,1,0,2,155000
340,1908,8,2,0,2,202900
341,841,4,1,0,1,82000
343,1684,9,2,4,2,266000
344,1112,5,1,0,1,85000
345,1577,6,1,3,2,140200
346,958,6,1,0,2,151500
347,1478,6,2,3,2,157500
348,1626,7,2,0,2,154000
349,2728,9,3,4,2,437154
350,1869,9,2,3,2,318061
351,1453,7,2,2,2,190000
352,1111,5,1,0,2,95000
353,720,6,2,0,1,105900
354,1595,6,1,3,2,140000
355,1200,6,2,0,2,177500
356,1167,6,2,0,2,173000
357,1142,5,2,1,1,134000
358,1352,5,1,0,2,130000
359,1924,8,2,2,2,280000
360,912,6,2,2,2,156000
361,1505,5,1,0,2,145000
363,987,6,1,0,1,118000
364,1574,6,2,2,2,190000
365,1344,5,1,0,1,147000
366,1394,6,2,3,2,159000
367,1431,6,1,3,2,165000
368,1268,5,1,3,2,132000
369,1287,5,2,3,2,162000
370,1664,6,2,2,2,172400
372,752,6,1,0,2,125000
373,1319,5,1,0,2,123000
374,1928,7,2,3,2,219500
375,904,1,0,0,2,61000
376,914,5,2,0,2,148000
377,2466,8,2,3,3,340000
378,1856,9,3,4,2,394432
379,1800,6,2,2,2,179000
380,1691,5,1,3,2,127000
381,1301,7,2,3,3,187750
382,1797,7,2,0,2,213500
383,784,6,2,0,1,76000
384,1953,6,2,1,2,240000
385,1269,8,2,2,2,192000
386,1184,5,0,0,2,81000
387,1125,6,1,1,2,125000
388,1479,7,2,0,2,191000
389,2332,10,3,4,2,426000
390,1367,5,1,0,2,119000
391,1961,6,2,2,2,215000
393,788,4,0,2,2,100000
394,1034,5,1,0,2,109000
395,1144,5,1,0,2,129000
396,894,5,2,0,2,123000
397,1812,5,1,2,2,169500
398,1077,5,1,0,1,67000
399,1550,7,2,0,3,241000
400,1288,8,2,3,2,245500
401,1310,7,2,3,2,164990
402,672,5,1,0,2,108000
403,2263,8,2,2,2,258000
404,1572,6,2,2,2,168000
405,1620,4,2,2,2,150000
406,1639,6,1,0,2,115000
407,1680,6,1,0,2,177000
408,2172,7,3,3,2,280000
409,2078,8,3,3,3,339750
410,1276,5,1,0,2,60000
411,1056,5,2,0,2,145000
412,1478,7,2,3,3,222000
413,1028,5,2,3,1,115000
414,2097,7,3,2,2,228000
415,1340,7,2,0,2,181134
416,1400,6,2,2,2,149500
417,2624,6,3,3,2,239000
418,1134,5,1,0,2,126000
419,1056,5,1,1,2,142000
420,1344,7,4,0,1,206300
421,1602,6,2,2,2,215000
422,988,5,2,0,2,113000
423,2630,8,3,2,2,315000
424,1196,6,1,3,2,139000
425,1389,7,1,3,1,135000
426,1644,7,2,2,2,275000
427,907,4,1,0,2,109008
428,1208,7,2,0,2,195400
429,1412,6,2,2,2,175000
430,987,6,1,0,1,85400
431,1198,6,0,0,1,79900
432,1365,5,2,0,1,122500
433,1604,6,2,2,2,181000
434,630,4,0,0,1,81000
435,1661,7,2,2,2,212000
436,1118,6,2,0,1,116000
437,904,6,1,0,1,119000
438,694,5,1,3,2,90350
439,1196,6,2,0,2,110000
440,2402,10,3,3,2,555000
441,1440,4,0,0,2,118000
442,1573,5,2,3,1,162900
443,1258,7,3,3,2,172500
444,1908,7,2,2,2,210000
445,1689,6,2,3,2,127500
446,1888,6,2,3,2,190000
447,1886,7,2,2,2,199900
448,1376,6,1,3,1,119500
449,1183,3,1,0,1,120000
450,813,6,1,0,1,110000
451,1533,7,2,2,2,280000
452,1756,6,2,0,2,204000
453,1590,8,2,0,3,210000
454,1728,5,2,0,2,188000
455,1242,7,2,2,2,175500
456,1344,5,3,0,1,98000
457,1663,4,2,3,2,256000
458,1666,8,1,3,1,161000
459,1203,5,1,2,2,110000
460,1935,8,2,0,3,263435
461,1135,7,2,0,2,155000
462,864,5,1,1,2,62383
463,1660,6,1,3,2,188700
464,1040,5,0,0,2,124000
465,1414,7,2,2,1,178740
466,1277,7,2,1,2,167000
467,1644,5,1,3,2,146500
468,1634,8,3,3,2,250000
469,1710,6,2,0,2,187000
470,1502,8,2,0,2,212000
471,1969,7,2,3,2,190000
472,1072,6,2,0,1,148000
473,1976,8,3,4,2,440000
474,1652,8,2,0,2,251000
475,970,5,2,0,2,132500
476,1493,6,2,2,2,208900
477,2643,9,3,3,2,380000
478,1718,8,3,3,2,297000
479,1131,4,2,0,1,89471
480,1850,9,3,3,2,326000
481,1792,9,3,3,2,374000
482,1826,7,1,3,1,155000
483,1216,6,2,0,1,164000
484,999,5,1,0,2,132500
485,1113,5,1,3,2,147000
486,1073,5,2,0,2,156000
487,1484,5,2,2,2,175000
488,2414,5,2,3,2,160000
489,630,4,1,0,1,86000
490,1304,5,1,3,1,115000
491,1578,6,1,2,2,133000
492,1456,6,2,0,2,172785
493,1269,5,1,1,2,155000
494,886,5,1,0,1,91300
495,720,4,0,0,0,34900
496,3228,8,2,3,2,430000
497,1820,7,1,0,2,184000
498,899,5,1,0,2,130000
499,912,5,1,0,2,120000
500,1218,6,1,0,1,113000
501,1768,7,2,0,3,226700
502,1214,5,2,0,2,140000
503,1801,7,2,2,2,289000
504,1322,6,2,1,2,147000
505,1960,5,2,0,1,124500
506,1911,8,2,2,2,215000
507,1218,6,2,0,3,208300
508,1378,7,2,3,1,161000
509,1041,5,1,0,2,124500
510,1363,5,1,2,2,164900
511,1368,7,2,3,2,202665
512,864,5,2,0,2,129900
513,1080,6,2,0,2,134000
514,789,5,1,0,2,96500
515,2020,10,3,3,2,402861
516,2119,6,2,2,2,158000
517,2344,7,3,2,2,265000
518,1796,6,2,0,2,211000
519,2080,7,1,3,2,234000
521,1244,6,1,3,2,150000
522,1664,6,2,3,1,159000
523,4676,10,3,3,2,184750
524,2398,7,3,2,2,315750
525,1266,7,2,2,3,176000
526,928,5,1,0,2,132000
527,2713,9,3,3,2,446261
528,605,4,0,0,2,86000
530,1509,6,2,1,2,175000
531,1362,6,2,0,1,128000
534,1414,8,2,3,2,178000
535,1347,5,0,0,2,107500
536,1724,7,2,0,2,188000
537,864,4,2,0,2,111250
538,1159,5,1,1,2,158000
539,1601,8,2,2,2,272000
540,1838,9,3,3,2,315000
541,2285,8,3,2,2,248000
542,1680,7,2,2,2,213250
543,767,7,1,0,1,133000
544,1496,7,2,3,2,179665
545,2183,7,3,0,2,229000
546,1635,6,2,3,2,210000
547,768,5,2,0,2,129500
548,825,5,2,0,1,125000
549,2094,7,2,3,3,263000
550,1069,6,2,0,2,140000
551,928,5,1,0,1,112500
552,1717,8,3,3,2,255500
554,2046,7,3,3,2,284000
555,1048,5,1,3,1,113000
556,1092,5,1,2,2,141000
557,1336,4,1,0,0,108000
558,1446,7,2,2,2,175000
559,1557,7,2,2,2,234000
560,1392,5,2,3,2,121500
561,1389,5,2,2,2,170000
562,996,5,0,3,2,108000
563,1674,6,2,3,2,185000
564,2295,7,2,2,2,268000
565,1647,6,1,0,2,128000
566,2504,9,3,3,2,325000
567,1535,7,2,0,2,214000
568,2132,8,2,3,2,316600
569,943,5,2,2,2,135960
570,1728,5,2,0,2,142600
571,864,6,1,0,2,120000
572,1692,7,2,0,2,224500
573,1430,7,2,2,2,170000
574,1109,5,1,0,2,139000
575,1216,5,1,0,2,118500
576,1477,7,1,3,2,145000
577,1320,5,2,1,2,164500
578,1392,7,2,0,3,146000
579,1795,5,1,0,1,131500
580,1429,6,2,3,2,181900
581,2042,8,3,3,2,253293
582,816,6,0,0,2,118500
583,2775,10,2,3,1,325000
584,1573,4,1,0,1,133000
585,2028,8,3,3,2,369900
586,838,6,1,0,2,130000
587,860,5,2,0,2,137000
588,1473,5,1,3,2,143000
589,935,5,1,0,1,79500
590,1582,7,2,0,2,185900
591,2296,10,3,3,2,451950
592,816,5,2,0,2,138000
593,848,6,2,0,1,140000
594,924,5,1,0,2,110000
595,1826,8,3,2,2,319000
596,1368,6,1,0,1,114504
597,1402,7,3,3,2,194201
598,1647,5,2,2,2,217500
599,1556,6,2,2,1,151000
600,1904,8,2,3,2,275000
601,1375,6,1,3,1,141000
602,1915,8,2,2,2,220000
603,1200,7,2,0,3,151000
604,1494,7,2,2,2,221000
605,1986,7,2,1,2,205000
606,1040,5,2,0,2,152000
607,2008,5,1,0,2,225000
608,3194,8,2,3,2,359100
609,1029,4,1,0,2,118500
610,2153,9,3,4,2,313000
611,1032,6,2,2,2,148000
612,1872,8,2,2,2,261500
613,1120,5,0,0,2,147000
614,630,4,0,0,1,75500
615,1054,6,2,0,2,137500
616,1509,6,2,3,2,183200
617,832,6,2,0,2,105500
618,1828,9,3,3,2,314813
619,2262,8,3,3,2,305000
620,864,3,0,0,2,67000
621,2614,6,2,2,2,240000
622,980,5,2,0,2,135000
623,1512,6,2,2,3,168500
624,1790,6,2,2,2,165150
625,1116,6,2,0,2,160000
626,1422,5,1,2,2,139900
627,1520,6,1,3,2,153000
628,2080,5,2,2,2,135000
629,1350,6,2,0,2,168500
630,1750,5,1,0,1,124000
631,1554,8,2,3,2,209500
632,1411,7,2,2,2,82500
633,1056,5,1,0,2,139400
634,1056,6,2,0,2,144000
635,3395,6,0,0,1,200000
636,800,2,0,1,1,60000
637,1387,5,1,0,1,93000
638,796,5,0,0,2,85000
639,1567,8,3,3,2,264561
640,1518,8,2,3,2,274000
641,1929,7,2,2,3,226000
642,2704,8,2,2,2,345000
643,1620,5,2,0,2,152000
644,1766,9,3,3,3,370878
645,981,6,2,0,2,143250
647,1094,6,2,3,2,155000
648,1839,6,2,2,2,155000
649,630,4,0,0,1,84500
651,1510,4,1,3,2,108000
652,1716,7,2,2,2,191000
653,1469,6,1,0,1,135000
654,2113,8,3,2,2,350000
655,1092,6,1,0,1,88000
656,1053,5,1,0,2,145500
657,1502,7,1,3,2,149000
658,1458,6,1,3,2,97500
659,1486,5,2,0,2,167000
660,1935,7,2,2,2,197900
661,2448,8,3,2,2,402000
662,1392,6,2,2,2,110000
663,1181,4,2,0,2,137500
664,2097,8,3,4,2,423000
665,1936,8,2,2,2,230500
666,2380,6,2,1,2,129000
667,1679,6,2,1,2,193500
668,1437,5,2,2,2,168000
669,1180,4,1,3,2,137500
670,1476,6,2,0,2,173500
671,1369,6,1,0,1,103600
672,1208,6,2,2,2,165000
673,1839,6,2,2,2,257500
674,1136,6,1,3,2,140000
675,1441,6,2,2,2,148500
676,1774,4,3,0,1,87000
677,792,5,1,0,2,109500
678,2046,8,3,3,2,372500
679,988,5,2,0,2,128500
680,923,6,1,2,2,143000
681,1520,5,1,0,1,159434
682,1291,6,2,3,2,173000
683,1668,9,3,2,2,285000
684,1839,7,2,0,2,221000
685,2090,7,2,2,2,207500
686,1761,7,2,0,3,227875
687,1102,7,2,0,3,148800
688,1419,8,2,3,2,392000
689,1362,6,2,3,2,194700
690,848,6,2,2,1,141000
691,4316,10,3,4,2,755000
692,2519,7,2,3,2,335000
693,1073,5,1,0,2,108480
694,1539,5,2,0,1,141500
695,1137,6,2,2,2,176000
696,616,5,1,0,1,89000
697,1148,5,1,0,2,123500
698,894,5,1,3,2,138500
699,1391,7,2,0,3,196000
700,1800,8,3,3,2,312500
701,1164,7,2,0,2,140000
702,2576,8,3,3,2,361919
703,1812,5,2,1,1,140000
704,1484,7,2,0,2,213000
706,1824,7,2,2,2,302000
707,1324,8,2,3,2,254000
708,1456,7,2,3,2,179540
709,904,5,1,0,2,109900
710,729,3,0,0,2,52000
711,1178,4,1,0,0,102776
712,1228,8,2,3,2,189000
713,960,4,2,0,2,129000
714,1479,6,2,0,2,130500
715,1350,6,2,2,2,165000
716,2554,7,2,0,1,159500
717,1178,5,2,1,2,157000
718,2418,7,3,2,2,341000
719,971,5,1,1,2,128500
720,1742,8,2,2,2,275000
721,848,6,2,0,1,143000
722,864,4,2,0,2,124500
723,1470,4,1,0,2,135000
724,1698,9,3,3,2,320000
725,864,4,2,0,2,120500
726,1680,6,2,3,2,222000
727,1232,7,2,0,2,194500
728,1776,5,3,0,2,110000
729,1208,4,2,0,1,103000
730,1616,8,2,2,2,236500
731,1146,7,2,3,2,187500
732,2031,7,2,2,2,222500
733,1144,5,1,2,2,131400
734,948,5,1,0,2,108000
735,1768,7,2,2,1,163000
737,1801,8,3,3,2,239900
738,1200,5,0,0,2,179000
739,1728,7,2,0,2,190000
740,1432,5,2,0,1,132000
741,912,6,1,0,2,142000
742,1349,7,2,0,2,179000
743,1464,5,2,2,2,175000
744,1337,8,2,2,2,180000
745,2715,8,2,2,2,299800
746,2256,7,2,2,2,236000
747,2640,7,4,3,1,265979
748,1720,7,2,2,2,260400
750,1140,4,0,0,1,96500
751,1320,7,2,0,2,162000
752,1494,6,2,0,2,217000
753,2098,8,3,3,2,275500
754,1026,6,2,0,2,156000
755,1471,6,2,0,3,172500
756,1768,8,2,0,2,212000
757,1386,6,2,2,2,158900
758,1501,7,2,0,3,179400
759,2531,8,3,2,2,290000
760,864,6,1,0,2,127500
761,1301,5,2,0,1,100000
762,1547,7,2,0,3,215200
763,2365,8,3,3,2,337000
764,1494,8,2,3,2,270000
765,1506,9,2,3,2,264132
766,1714,7,2,2,2,196500
767,1750,6,1,0,2,160000
768,1836,7,2,3,2,216837
769,3279,8,3,3,2,538000
770,858,5,2,0,2,134900
771,1220,4,2,0,2,102000
772,1117,6,2,2,2,107000
773,912,5,1,0,2,114500
774,1973,8,3,3,2,395000
775,1204,6,2,0,1,162000
776,1614,7,3,0,2,221500
777,894,5,2,1,2,142500
779,1004,6,2,0,2,135000
780,1253,7,2,2,2,176000
781,1603,6,2,0,2,175900
782,1430,7,2,0,2,187100
783,1110,5,2,2,2,165500
784,1484,6,0,3,1,128000
785,1342,6,2,3,2,161500
786,1652,5,1,0,1,139000
787,2084,7,2,0,2,233000
788,901,4,1,0,1,107900
789,2087,6,2,0,2,187500
790,1145,7,2,3,2,160200
791,1062,6,2,2,2,146800
792,2013,7,2,2,2,269790
793,1496,8,2,0,2,225000
794,1895,7,2,2,2,194500
795,1564,6,2,2,2,171000
796,1285,6,2,2,2,143500
797,773,5,1,0,2,110000
798,3140,9,3,3,2,485000
799,1768,5,1,2,2,175000
800,1688,6,2,0,2,200000
801,1196,4,2,0,1,109900
802,1456,7,2,3,2,189000
803,2822,9,3,3,2,582933
804,1128,5,1,0,2,118000
805,1428,7,2,0,2,227680
806,980,5,1,0,2,135500
807,1576,5,2,2,2,223500
808,1086,5,2,3,2,159950
809,2138,5,2,0,1,106000
810,1309,6,2,1,2,181000
811,848,6,2,3,1,144500
812,1044,5,2,0,0,55993
813,1442,6,1,0,2,157900
814,1250,5,1,0,2,116000
815,1661,7,2,0,2,224900
816,1008,5,1,3,2,137000
817,1689,8,3,3,2,271000
818,1052,6,2,0,2,155000
819,1358,7,2,3,2,224000
820,1640,7,2,0,2,183000
821,936,4,2,0,1,93000
822,1733,7,2,3,2,225000
823,1489,6,1,3,2,139500
824,1489,8,2,3,3,232600
825,2084,10,3,3,2,385000
826,784,5,0,0,1,109500
827,1434,7,2,2,2,189000
828,2126,5,2,0,2,185000
829,1223,7,2,0,3,147400
830,1392,6,2,3,2,166000
831,1200,7,2,0,3,151000
832,1829,7,2,2,2,237000
833,1516,6,2,0,2,167000
834,1144,5,2,0,2,139950
835,1067,4,2,0,2,128000
836,1559,5,2,0,1,153500
837,987,6,1,0,1,100000
838,1099,5,1,0,2,144000
839,1200,5,1,0,2,130500
840,1482,6,1,0,1,140000
841,1539,5,2,1,1,157500
842,1165,6,2,0,2,174900
843,1800,5,0,0,2,141000
844,1416,5,3,3,1,153900
845,1701,5,2,2,2,171000
846,1775,7,2,2,2,213000
847,864,5,1,1,2,133500
848,2358,6,2,3,2,240000
849,1855,6,2,2,2,187000
850,848,6,2,0,1,131500
851,1456,8,2,2,2,215000
852,1646,7,1,3,2,164000
853,1445,6,2,1,2,158000
854,1779,5,2,3,2,170000
855,1040,5,1,0,2,127000
856,1026,6,2,0,2,147000
857,1481,6,2,2,2,174000
858,1370,7,2,2,2,152000
859,2654,6,2,3,2,250000
860,1426,7,1,3,2,189950
861,1039,5,2,0,2,131500
862,1097,6,2,0,2,152000
863,1148,5,1,0,2,132500
864,1372,7,2,0,3,250580
865,1002,5,2,0,2,148500
866,1646,8,3,3,2,248900
867,1120,4,2,0,2,129000
869,1949,7,2,2,2,236000
870,894,5,1,0,2,109500
871,1682,6,2,0,2,200500
872,910,5,2,0,2,116000
873,1268,5,1,3,2,133000
874,1131,5,1,0,1,66500
875,2610,8,2,3,3,303477
876,1040,4,2,0,2,132250
877,2224,9,3,3,2,350000
878,1155,5,2,0,2,148000
879,864,5,1,0,2,136500
880,1090,5,2,0,2,157000
881,1717,7,2,2,2,187500
882,1593,6,2,2,2,178000
883,2230,4,1,0,2,118500
884,892,5,1,0,2,100000
885,1709,9,2,2,3,328900
886,1712,5,2,0,2,145000
887,1393,5,1,0,2,135500
888,2217,8,2,2,2,268000
889,1505,6,2,2,2,149500
890,924,5,2,1,2,122900
891,1683,6,2,2,2,172500
892,1068,6,1,0,2,154500
893,1383,5,1,3,2,165000
895,1796,6,2,2,2,140000
896,951,4,1,0,1,106500
898,2364,9,3,3,2,611657
899,1236,5,1,2,2,135000
900,858,4,1,0,2,110000
901,1306,5,1,0,2,153000
902,1509,7,2,3,2,180000
903,1670,7,3,3,2,240000
